method,k=10,k=20,all
stepwise_plain,0.512625,0.293625,0.403125
L0opt_CD,0.497,0.294125,0.3955625
L0opt_CDPSI,0.498,0.2965625,0.39728125000000003
GSDAR,0.3625,0.193625,0.2780625
lassonet,0.4985,0.2830625,0.39078125
lassonet_plus,0.5141249999999999,0.29581250000000003,0.40496875
deep2stage,0.235625,0.1051875,0.17040625
deep2stage_plus,0.509875,0.2923125,0.40109375
