method,a,b,all
stepwise_plain,0,0,0
L0opt_CD,19,19,38
L0opt_CDPSI,38,35,73
GSDAR,1,2,3
lassonet,8,12,20
lassonet_plus,35,21,56
deep2stage,0,0,0
deep2stage_plus,17,9,26
