method,p=1000,p=2000,p=5000,p=10000
stepwise_plain,0.26,0.19,0.024999999999999998,0.1775
L0opt_CD,0.2575,0.2275,0.0325,0.185
L0opt_CDPSI,0.23500000000000001,0.18,0.0275,0.16749999999999998
GSDAR,0.6975,0.7025,0.1225,0.41000000000000003
lassonet,0.3175,0.1825,0.03,0.1875
lassonet_plus,0.26749999999999996,0.195,0.0275,0.1825
deep2stage,0.735,0.9175,1.225,0.8049999999999999
deep2stage_plus,0.275,0.225,0.0275,0.2425
