method,p=1000,p=2000,p=5000,p=10000
stepwise_plain,0,0,0,0
L0opt_CD,113,112,52,96
L0opt_CDPSI,65,70,47,69
GSDAR,391,393,324,369
lassonet,397,395,395,392
lassonet_plus,373,375,392,376
deep2stage,400,400,400,400
deep2stage_plus,387,387,398,396
