method,p=1000,p=2000,p=5000,p=10000
stepwise_plain,0.428875,0.41574999999999995,0.398,0.369875
L0opt_CD,0.4165,0.404875,0.40025,0.360625
L0opt_CDPSI,0.41937500000000005,0.408125,0.400625,0.361
GSDAR,0.27549999999999997,0.26037499999999997,0.33499999999999996,0.241375
lassonet,0.41025,0.399875,0.39875,0.35425
lassonet_plus,0.429875,0.41762499999999997,0.40125,0.37112500000000004
deep2stage,0.258125,0.22612500000000002,0.148375,0.049
deep2stage_plus,0.42774999999999996,0.414375,0.39775000000000005,0.3645
