method,k=10,k=20,all
stepwise_plain,0.563,0.358875,0.4609375
L0opt_CD,0.539375,0.3571875,0.44828125
L0opt_CDPSI,0.5415,0.3601875,0.45084375
GSDAR,0.39025,0.21775,0.304
lassonet,0.542375,0.3388125,0.44059375
lassonet_plus,0.564875,0.363,0.4639375
deep2stage,0.26,0.124375,0.1921875
deep2stage_plus,0.559125,0.3499375,0.45453125
