method,a,b,all
stepwise_plain,99.62208946406841,91.178615899086,95.4003526815772
L0opt_CD,0.6792431765794754,0.6926092752814292,0.6859262259304524
L0opt_CDPSI,6.378521941006183,6.459224914312363,6.418873427659273
GSDAR,9.217935272157192,9.285889999866486,9.25191263601184
lassonet,23.18979454576969,23.46077405899763,23.32528430238366
lassonet_plus,39.30942594558,38.54103402674198,38.92522998616099
deep2stage,14.962844523489474,14.674834688603879,14.818839606046676
deep2stage_plus,36.44293519347906,35.65834370970726,36.05063945159316
