method,a,b,all
stepwise_plain,0,0,0
L0opt_CD,141,128,269
L0opt_CDPSI,100,86,186
GSDAR,683,675,1358
lassonet,792,787,1579
lassonet_plus,765,778,1543
deep2stage,800,800,1600
deep2stage_plus,783,790,1573
