method,k=10,k=20,all
stepwise_plain,87.69784988224507,103.10285548090934,95.4003526815772
L0opt_CD,0.6991282269358635,0.6727242249250411,0.6859262259304524
L0opt_CDPSI,6.386593945622444,6.451152909696102,6.418873427659273
GSDAR,9.183287990987301,9.320537281036376,9.25191263601184
lassonet,23.369126998782157,23.281441605985165,23.32528430238366
lassonet_plus,37.97231406003237,39.87814591228962,38.92522998616099
deep2stage,15.043234338462351,14.594444873631,14.818839606046676
deep2stage_plus,35.05297732502222,37.0483015781641,36.05063945159316
