method,a_10,a_20,a_all,b_10,b_20,b_all
stepwise_plain,0,0,0,0,0,0
L0opt_CD,9,26,35,7,29,36
L0opt_CDPSI,13,49,62,16,45,61
GSDAR,0,0,0,0,0,0
lassonet,3,9,12,3,6,9
lassonet_plus,15,32,47,13,24,37
deep2stage,0,0,0,0,0,0
deep2stage_plus,4,11,15,5,12,17
