method,p=1000,p=2000,p=5000,p=10000
stepwise_plain,0,0,0,0
L0opt_CD,84,79,32,74
L0opt_CDPSI,52,54,28,52
GSDAR,372,380,263,343
lassonet,396,397,393,393
lassonet_plus,381,386,392,384
deep2stage,400,400,400,400
deep2stage_plus,387,393,399,394
