method,k=10,k=20,all
stepwise_plain,0.14,0.18625,0.163125
L0opt_CD,0.135,0.21625,0.175625
L0opt_CDPSI,0.13125,0.17375000000000002,0.1525
GSDAR,0.5762499999999999,0.39,0.48312499999999997
lassonet,0.16125,0.1975,0.179375
lassonet_plus,0.14,0.19625,0.168125
deep2stage,1.21125,0.63,0.920625
deep2stage_plus,0.18125,0.20375,0.1925
