k,p,scenario,stepwise_plain,L0opt_CD,L0opt_CDPSI,GSDAR,lassonet,lassonet_plus,deep2stage,deep2stage_plus
0,1000,null,0.0,0.41121265399040263,0.41121265399040263,3.952762711370521e-05,6.737412509149177e-05,6.737412509149177e-05,0.016725352953699226,6.737412508921805e-05
0,2000,null,0.0,0.5980551100714633,0.5980551100714633,2.1942691523159706e-05,2.5566068277666767e-06,2.5566068277666767e-06,0.032880790151464626,2.5566068277666767e-06
0,5000,null,0.0,0.4773920994821078,0.4773920994821078,7.883373810950927e-06,0.00010769665171776421,0.00010769665171776421,0.042233912570293214,0.00010769665171776421
0,10000,null,0.0,0.3845128564383483,0.3845128564383483,2.000700247029299e-06,4.516821490477638e-06,4.516821490477638e-06,0.00699212421259005,4.516821490477638e-06
10,1000,gamma,0.0,1.3086637543477748,1.3049038360590757,2.350154421068686,0.5990282559510007,0.08601495833609718,3.4441821834230977,0.1545348698778685
10,1000,normal,0.0,1.2684931485234165,1.2713382378417992,2.1234359845659077,0.4768969226777693,0.026854262688015874,3.8894842912042074,0.06458634413427898
10,2000,gamma,0.0,1.1764497567931738,1.177280166462851,2.440773070342254,0.46097241499764696,0.06041167470268238,3.1669100471386544,0.09765609090610451
10,2000,normal,0.0,1.0007993587204707,1.0014388927020819,2.688242852796485,0.4116390994466178,0.026959049789072043,3.7467805312762934,0.11762683389382159
10,5000,gamma,0.0,0.024007856992311928,0.02341383378916091,1.0194053018028297,0.0685298635739758,0.02346440434865357,4.433219819576733,0.00310432571971619
10,5000,normal,0.0,0.8932094384479476,0.8932094384479476,1.07979011638832,0.03599834057846729,0.006434080781478088,4.672875588292048,0.003288386654564621
10,10000,gamma,0.0,0.7355422318903443,0.7360763039357214,2.172507362882241,0.5254502168225911,0.18290907201584972,5.061448919336533,0.4012193207980821
10,10000,normal,0.0,1.1636873041967257,1.1699642235918666,2.4080944957078314,0.3947871214234329,0.13037730988845714,5.460404901888387,0.5206771325780696
20,1000,gamma,0.0,0.6092598879629858,0.6058606567420084,2.0373848322179198,0.6564619539042276,0.08454014509044874,3.5110751398423723,0.17846778405266678
20,1000,normal,0.0,0.6609086883153374,0.6601363383603633,2.292076926818381,0.5884883936057533,0.06511266523329462,3.4668362365036316,0.21765768230946705
20,2000,gamma,0.0,0.679627545332503,0.6811536849504047,2.1025567437356076,0.3725116153368402,0.06508250921298572,3.194100773873485,0.08032976471979718
20,2000,normal,0.0,0.2625520944784339,0.27471564405422566,2.026616515304739,0.60935607265959,0.23333476989406493,2.823543246517741,0.19285754734079638
20,5000,gamma,0.0,0.04367254405212158,0.038372288109475364,0.6352285545343659,0.1837879212614853,0.018072400635726384,3.1582224144026467,0.02772292053022569
20,5000,normal,0.0,0.07467702219747782,0.07439861886840954,0.688820372849978,0.1494164893225768,0.002806825526264082,3.6727605966636916,0.003697200116002017
20,10000,gamma,0.0,0.08502575629542629,0.07526940050999796,2.1416338182661727,0.6695284320502347,0.16267308929901542,4.258528817226901,0.22104395491845494
20,10000,normal,0.0,0.1818122250492822,0.17480002547758183,1.7754148233106015,0.39345198937222664,0.03700067444067788,4.41571707642132,0.20325417884399818
