method,a_10,a_20,a_all,b_10,b_20,b_all
stepwise_plain,0,0,0,0,0,0
L0opt_CD,5,14,19,5,14,19
L0opt_CDPSI,10,28,38,9,26,35
GSDAR,0,1,1,0,2,2
lassonet,3,5,8,1,11,12
lassonet_plus,10,25,35,6,15,21
deep2stage,0,0,0,0,0,0
deep2stage_plus,5,12,17,2,7,9
