k,p,scenario,stepwise_plain,L0opt_CD,L0opt_CDPSI,GSDAR,lassonet,lassonet_plus,deep2stage,deep2stage_plus
0,1000,null,2.06122998714447,0.11573213338851929,2.507208981513977,1.3083979558944703,11.642110331058502,16.574235060214995,11.271078264713287,8.738699297904969
0,2000,null,4.017706270217896,0.15419043064117433,3.2563468527793886,2.340776491165161,16.107207968235016,21.052028410434723,14.525199038982391,11.069575362205505
0,5000,null,13.800184800624848,0.49219876766204834,5.620190513134003,8.594627041816711,26.936529405117035,29.581402707099915,12.779096007347107,26.736055014133452
0,10000,null,25.52226732492447,0.9324598121643066,10.297904181480408,16.791391184329985,33.866508324146274,35.8922034740448,20.317857184410094,50.823311407566074
10,1000,gamma,17.78515033721924,0.19800207614898682,3.143267934322357,1.9156705474853515,12.706380059719086,33.79136029243469,12.671097178459167,20.818620455265044
10,1000,normal,15.098780810832977,0.20473237037658693,3.072395610809326,1.8566134452819825,12.899064490795135,29.7232506275177,11.124968321323395,17.9993479180336
10,2000,gamma,30.627403047084808,0.2809919428825378,3.8382952284812926,3.0230270552635194,16.332115643024444,32.08038892269135,14.493348593711852,21.6384628534317
10,2000,normal,28.817071275711058,0.2832684659957886,4.018168671131134,3.087153196334839,16.05788122653961,35.02588050603867,14.76989105463028,19.850890979766845
10,5000,gamma,110.65099978208542,0.7991263270378113,6.753146426677704,10.852970073223114,28.02968368053436,40.6168975520134,12.758164706230163,39.215360248088835
10,5000,normal,97.49453109502792,0.8068990063667297,6.414690289497376,10.846609597206117,28.508552584648132,39.074419333934785,12.977974069118499,37.42883398771286
10,10000,gamma,216.5035922765732,1.4849801540374756,11.70991361618042,20.964560978412628,35.83786098241806,47.05518731355667,20.706566648483275,62.03225444555282
10,10000,normal,184.60527043342591,1.5350254726409913,12.142873787879944,20.919699034690858,36.58147732257843,46.411127932071686,20.843864135742187,61.44004771232605
20,1000,gamma,21.293518574237822,0.19914363145828248,3.1604343271255493,1.7203353238105774,12.34047506570816,32.45206045627594,12.273663873672485,21.20001959323883
20,1000,normal,20.06513806581497,0.1966205668449402,3.0403221964836122,1.8383377695083618,12.806234850883484,31.293966307640076,10.830144939422608,21.400322124958038
20,2000,gamma,39.53680084943771,0.2759545421600342,3.885992937088013,2.9791781091690064,16.07093416452408,39.066129770278934,13.104272110462189,23.752489104270936
20,2000,normal,38.120792186260225,0.2867133665084839,4.02526704788208,3.0095601224899293,16.296964082717896,37.344175915718075,13.213669579029084,22.999647555351256
20,5000,gamma,126.40207816839218,0.7845546913146972,6.6871248054504395,11.122591238021851,28.418917760849,41.1780170249939,13.163908593654632,39.74340482473374
20,5000,normal,124.12723654270172,0.7906199765205383,6.851253364086151,11.411409130096436,28.52920824766159,41.697131147384646,12.81723783493042,41.49251192569733
20,10000,gamma,234.17717267751695,1.4111920475959778,11.850000252723694,21.16514885187149,35.78198900938034,48.23536623239517,20.531734483242033,63.14287002325058
20,10000,normal,221.1001067829132,1.4369949769973756,12.108828346729279,21.317737703323363,36.00680966615677,47.75832044363022,20.820927574634553,62.6551474738121
