k,p,scenario,L0opt_CD,L0opt_CDPSI,GSDAR,lassonet,lassonet_plus,deep2stage,deep2stage_plus
0,1000,null,32.0,32.0,4.0,4.0,4.0,4.0,4.0
0,2000,null,42.0,42.0,5.0,5.0,5.0,5.0,5.0
0,5000,null,43.0,43.0,4.0,4.0,4.0,4.0,4.0
0,10000,null,39.0,39.0,1.0,1.0,1.0,1.0,1.0
10,1000,gamma,25.0,17.0,97.0,99.0,96.0,100.0,97.0
10,1000,normal,15.0,10.0,86.0,100.0,99.0,100.0,99.0
10,2000,gamma,17.0,11.0,95.0,100.0,99.0,100.0,100.0
10,2000,normal,16.0,14.0,96.0,100.0,99.0,100.0,100.0
10,5000,gamma,2.0,1.0,68.0,99.0,98.0,100.0,100.0
10,5000,normal,3.0,3.0,63.0,99.0,99.0,100.0,100.0
10,10000,gamma,14.0,11.0,88.0,99.0,97.0,100.0,98.0
10,10000,normal,19.0,13.0,86.0,100.0,97.0,100.0,99.0
20,1000,gamma,23.0,14.0,95.0,99.0,90.0,100.0,94.0
20,1000,normal,21.0,11.0,94.0,98.0,96.0,100.0,97.0
20,2000,gamma,21.0,14.0,94.0,100.0,94.0,100.0,97.0
20,2000,normal,25.0,15.0,95.0,97.0,94.0,100.0,96.0
20,5000,gamma,17.0,16.0,61.0,98.0,97.0,100.0,99.0
20,5000,normal,10.0,8.0,71.0,97.0,98.0,100.0,100.0
20,10000,gamma,22.0,16.0,85.0,98.0,94.0,100.0,98.0
20,10000,normal,19.0,12.0,84.0,96.0,96.0,100.0,99.0
