method,p=1000,p=2000,p=5000,p=10000
stepwise_plain,0.06927038239538238,0.06461029248529249,0.022112519425019427,0.06122790404040404
L0opt_CD,0.07319886363636363,0.06713514957264957,0.026315712065712066,0.061101641414141414
L0opt_CDPSI,0.0640301850926851,0.061859924797424796,0.026934759684759686,0.06248394660894661
GSDAR,0.14827394133644134,0.1609013209013209,0.04815954184704184,0.10922853535353537
lassonet,0.07731188256188257,0.06098150460650461,0.02164597902097902,0.05360454822954823
lassonet_plus,0.07032909451659451,0.0638875222000222,0.02379920773670774,0.06074469974469974
deep2stage,0.1615226387819267,0.21282259917370208,0.2866804047668018,0.21626881737543502
deep2stage_plus,0.07172730047730047,0.06866991341991342,0.022351641414141414,0.07342714923964924
