method,a,b,all
stepwise_plain,0.41962499999999997,0.386625,0.403125
L0opt_CD,0.4129375,0.3781875,0.3955625
L0opt_CDPSI,0.41475,0.3798125,0.39728125000000003
GSDAR,0.28612499999999996,0.27,0.2780625
lassonet,0.4085625,0.373,0.39078125
lassonet_plus,0.42225,0.38768749999999996,0.40496875
deep2stage,0.1726875,0.16812500000000002,0.17040625
deep2stage_plus,0.41762499999999997,0.38456250000000003,0.40109375
