method,a,b,all
stepwise_plain,0,0,0
L0opt_CD,180,193,373
L0opt_CDPSI,115,136,251
GSDAR,745,732,1477
lassonet,788,791,1579
lassonet_plus,753,763,1516
deep2stage,800,800,1600
deep2stage_plus,785,783,1568
