method,a_10,a_20,a_all,b_10,b_20,b_all
stepwise_plain,0,0,0,0,0,0
L0opt_CD,58,83,141,53,75,128
L0opt_CDPSI,40,60,100,40,46,86
GSDAR,348,335,683,331,344,675
lassonet,397,395,792,399,388,787
lassonet_plus,390,375,765,394,384,778
deep2stage,400,400,800,400,400,800
deep2stage_plus,395,388,783,398,392,790
