method,p=1000,p=2000,p=5000,p=10000
stepwise_plain,18.560646947026253,34.27551683962345,114.66871139705181,214.0965355426073
L0opt_CD,0.1996246612071991,0.28173207938671113,0.7953000003099442,1.467048162817955
L0opt_CDPSI,3.104105017185211,3.94193097114563,6.676553721427918,11.952904000878334
GSDAR,1.8327392715215682,3.0247296208143233,11.058395009636879,21.091786642074585
lassonet,12.688038616776467,16.189473779201506,28.371590568423272,36.0520342451334
lassonet_plus,31.8151594209671,35.87914377868176,40.641616264581685,47.365000480413435
deep2stage,11.724968578219414,13.895295334458352,12.929321300983428,20.72577321052551
deep2stage_plus,20.35457752287388,22.060372623205183,39.47002774655819,62.317579913735386
