method,p=1000,p=2000,p=5000,p=10000
stepwise_plain,0.49624999999999997,0.473875,0.45575,0.417875
L0opt_CD,0.474,0.460125,0.455625,0.40337500000000004
L0opt_CDPSI,0.47875,0.464375,0.4555,0.40475
GSDAR,0.30362500000000003,0.28525,0.367875,0.25925
lassonet,0.47250000000000003,0.44425,0.45125,0.39437500000000003
lassonet_plus,0.499375,0.4755,0.458375,0.4225
deep2stage,0.288625,0.252,0.171625,0.0565
deep2stage_plus,0.4925,0.465375,0.454625,0.405625
