method,p=1000,p=2000,p=5000,p=10000
stepwise_plain,0,0,0,0
L0opt_CD,21,20,14,16
L0opt_CDPSI,41,36,16,30
GSDAR,0,0,0,0
lassonet,3,5,5,8
lassonet_plus,27,25,8,24
deep2stage,0,0,0,0
deep2stage_plus,13,13,2,4
