k,p,scenario,stepwise_plain,L0opt_CD,L0opt_CDPSI,GSDAR,lassonet,lassonet_plus,deep2stage,deep2stage_plus
0,1000,null,0.04,0.41,0.41,0.04,0.04,0.04,0.0,0.04
0,2000,null,0.05,0.54,0.54,0.05,0.05,0.05,0.0,0.05
0,5000,null,0.04,0.53,0.53,0.04,0.04,0.04,0.0,0.04
0,10000,null,0.01,0.42,0.42,0.01,0.01,0.01,0.0,0.01
10,1000,gamma,0.32,0.29,0.29,0.85,0.38,0.32,0.84,0.36
10,1000,normal,0.16,0.16,0.14,0.73,0.25,0.16,0.74,0.17
10,2000,gamma,0.14,0.11,0.1,0.82,0.16,0.13,1.15,0.16
10,2000,normal,0.13,0.16,0.13,0.95,0.13,0.13,1.08,0.16
10,5000,gamma,0.03,0.03,0.03,0.15,0.02,0.03,1.85,0.03
10,5000,normal,0.03,0.03,0.03,0.15,0.04,0.03,1.55,0.03
10,10000,gamma,0.16,0.16,0.18,0.44,0.2,0.18,0.77,0.27
10,10000,normal,0.15,0.14,0.15,0.52,0.11,0.14,1.71,0.27
20,1000,gamma,0.25,0.25,0.23,0.4,0.32,0.24,0.58,0.24
20,1000,normal,0.31,0.33,0.28,0.81,0.32,0.35,0.78,0.33
20,2000,gamma,0.23,0.31,0.21,0.44,0.21,0.26,0.53,0.26
20,2000,normal,0.26,0.33,0.28,0.6,0.23,0.26,0.91,0.32
20,5000,gamma,0.03,0.04,0.03,0.06,0.02,0.03,0.55,0.03
20,5000,normal,0.01,0.03,0.02,0.13,0.04,0.02,0.95,0.02
20,10000,gamma,0.23,0.26,0.19,0.38,0.24,0.21,0.27,0.24
20,10000,normal,0.17,0.18,0.15,0.3,0.2,0.2,0.47,0.19
