k,p,scenario,L0opt_CD,L0opt_CDPSI,GSDAR,lassonet,lassonet_plus,deep2stage,deep2stage_plus
0,1000,null,32.0,32.0,4.0,4.0,4.0,4.0,4.0
0,2000,null,42.0,42.0,4.0,5.0,5.0,5.0,5.0
0,5000,null,43.0,43.0,4.0,4.0,4.0,4.0,4.0
0,10000,null,39.0,39.0,1.0,1.0,1.0,1.0,1.0
10,1000,gamma,24.0,14.0,99.0,100.0,94.0,100.0,98.0
10,1000,normal,27.0,19.0,94.0,99.0,97.0,100.0,98.0
10,2000,gamma,26.0,18.0,97.0,99.0,98.0,100.0,98.0
10,2000,normal,23.0,18.0,98.0,99.0,96.0,100.0,98.0
10,5000,gamma,8.0,6.0,81.0,99.0,99.0,100.0,100.0
10,5000,normal,9.0,8.0,78.0,99.0,98.0,100.0,100.0
10,10000,gamma,13.0,11.0,94.0,99.0,94.0,100.0,100.0
10,10000,normal,28.0,23.0,91.0,100.0,96.0,100.0,99.0
20,1000,gamma,30.0,16.0,99.0,98.0,88.0,100.0,95.0
20,1000,normal,32.0,16.0,99.0,100.0,94.0,100.0,96.0
20,2000,gamma,30.0,13.0,99.0,98.0,90.0,100.0,96.0
20,2000,normal,33.0,21.0,99.0,99.0,91.0,100.0,95.0
20,5000,gamma,21.0,20.0,83.0,99.0,97.0,100.0,99.0
20,5000,normal,14.0,13.0,82.0,98.0,98.0,100.0,99.0
20,10000,gamma,28.0,17.0,93.0,96.0,93.0,100.0,99.0
20,10000,normal,27.0,18.0,91.0,97.0,93.0,100.0,98.0
