method,a,b,all
stepwise_plain,0.17375000000000002,0.1525,0.163125
L0opt_CD,0.18125,0.17,0.175625
L0opt_CDPSI,0.1575,0.1475,0.1525
GSDAR,0.4425,0.52375,0.48312499999999997
lassonet,0.19375,0.165,0.179375
lassonet_plus,0.175,0.16125,0.168125
deep2stage,0.8175,1.02375,0.920625
deep2stage_plus,0.19875,0.18625,0.1925
