method,k=10,k=20,all
stepwise_plain,0,0,0
L0opt_CD,158,215,373
L0opt_CDPSI,117,134,251
GSDAR,732,745,1477
lassonet,794,785,1579
lassonet_plus,772,744,1516
deep2stage,800,800,1600
deep2stage_plus,791,777,1568
