method,a,b,all
stepwise_plain,0.48625,0.435625,0.4609375
L0opt_CD,0.4755625,0.42100000000000004,0.44828125
L0opt_CDPSI,0.478375,0.4233125,0.45084375
GSDAR,0.3135,0.2945,0.304
lassonet,0.467375,0.41381249999999997,0.44059375
lassonet_plus,0.4900625,0.4378125,0.4639375
deep2stage,0.196125,0.18825,0.1921875
deep2stage_plus,0.4786875,0.430375,0.45453125
