method,k=10,k=20,all
stepwise_plain,0,0,0
L0opt_CD,10,28,38
L0opt_CDPSI,19,54,73
GSDAR,0,3,3
lassonet,4,16,20
lassonet_plus,16,40,56
deep2stage,0,0,0
deep2stage_plus,7,19,26
