k;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
5;0,86;0,84;0,86;0,86;0,86;0,85;0,86;0,83;0,86
10;0,87;0,81;0,87;0,87;0,87;0,85;0,87;0,84;0,87
20;0,87;0,75;0,87;0,87;0,87;0,83;0,87;0,84;0,87
40;0,87;0,65;0,87;0,87;0,87;0,79;0,86;0,84;0,87
