rho;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0,00;0,05;0,02;0,06;0,06;0,06;0,04;0,05;0,03;0,05
0,50;0,05;0,03;0,05;0,05;0,05;0,03;0,04;0,03;0,05
0,80;0,05;0,07;0,07;0,06;0,06;0,10;0,05;0,10;0,05
