rho;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0,00;0,88;0,77;0,88;0,88;0,88;0,86;0,88;0,87;0,88
0,50;0,87;0,77;0,88;0,88;0,88;0,85;0,87;0,85;0,87
0,80;0,85;0,75;0,84;0,85;0,85;0,78;0,85;0,79;0,85
