k;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
5;0,85;0,83;0,85;0,85;0,85;0,84;0,85;0,81;0,85
10;0,85;0,80;0,85;0,85;0,85;0,83;0,85;0,83;0,85
20;0,84;0,74;0,84;0,84;0,84;0,81;0,84;0,82;0,84
40;0,83;0,63;0,83;0,83;0,84;0,77;0,83;0,80;0,84
