rho;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0,00;6,02;0,85;1,54;0,20;1,88;7,04;16,46;6,89;11,89
0,50;6,05;1,01;1,83;0,22;2,10;7,53;16,31;2,17;8,57
0,80;6,10;1,48;2,85;0,25;2,58;7,35;16,81;2,13;8,93
