k;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0;0,28;0,11;0,64;0,18;1,97;6,53;10,54;2,69;3,71
5;1,45;0,33;0,69;0,18;1,86;7,44;13,77;1,83;4,93
10;2,91;0,62;0,89;0,21;2,06;6,87;16,40;10,39;15,06
20;6,86;1,34;1,67;0,25;2,40;8,39;18,21;1,88;10,58
40;18,77;3,17;6,48;0,30;2,66;7,31;23,73;1,86;14,72
