rho;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0,00;0,85;0,76;0,85;0,85;0,85;0,84;0,85;0,85;0,85
0,50;0,85;0,75;0,85;0,85;0,85;0,83;0,85;0,83;0,85
0,80;0,83;0,74;0,82;0,83;0,83;0,77;0,83;0,77;0,83
