k;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0;0,02;0,02;0,03;0,03;0,03;0,03;0,03;0,01;0,03
5;0,04;0,03;0,05;0,05;0,05;0,04;0,05;0,06;0,05
10;0,05;0,03;0,06;0,05;0,05;0,04;0,05;0,07;0,05
20;0,06;0,05;0,07;0,06;0,06;0,06;0,06;0,07;0,06
40;0,07;0,07;0,08;0,09;0,09;0,12;0,06;0,08;0,07
