k;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0;0;0;0;0;0;0;0;0;0
5;0;0;2;2;2;0;1;0;1
10;0;1;10;6;16;4;10;3;12
20;0;0;31;16;45;3;37;8;44
40;0;0;66;58;110;0;66;11;100
