rho;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0,00;0,05;0,02;0,05;0,05;0,05;0,13;0,05;0,05;0,05
0,50;0,07;0,18;0,07;0,07;0,07;0,29;0,07;0,08;0,07
0,80;0,27;0,66;0,42;0,37;0,27;1,74;0,27;1,17;0,26
