k,rho,stepwise_plain,stepwise_reduced,stepwise_ff,L0opt_CD,L0opt_CDPSI,lassonet,lassonet_plus,deep2stage
0,0.0,0.0,0.0,0.005679591067298083,0.002551791953057766,0.002551791953057766,0.0025517919530578794,0.0025517919530578794,0.019500828339255316
0,0.5,0.0,0.0,0.012032422196505086,0.0,0.0,2.1779357250009695e-15,2.1779357250009695e-15,0.01622094712386732
0,0.8,0.0,0.0,0.003098904579529888,0.0,0.0,2.079095956585108e-15,2.079095956585108e-15,0.01942657784991522
5,0.0,0.0,0.21258985334124272,9.572472957324891e-05,0.00012158268738108379,0.0005422586866194149,0.028859675005476978,0.020636490872341658,0.8643144963249736
5,0.5,0.0,0.3620701495931883,0.013934530972735719,0.0011967026107334567,0.0011967026107334567,0.03359486725222742,0.03234949069795539,0.8156567109195441
5,0.8,0.0,0.5143704725050117,0.10613267465145702,0.01990376259756271,0.015772711897473708,0.19682912797570243,0.20019052066232865,1.3297471575187252
10,0.0,0.0,1.1321427036453389,0.0032919741920558474,0.01120717175488909,0.01120717175488909,0.0698267462961998,0.07361002942078408,1.2726548715482462
10,0.5,0.0,1.274874876545476,0.008989371335517903,0.01546676984879526,0.015486497586307992,0.09293024344842585,0.08729708802247231,1.2566868202937997
10,0.8,0.0,1.453567133003442,0.11273859996948223,0.05466976210498918,0.03737402183445882,,0.5652888563697219,1.8909500794262748
20,0.0,0.0,3.469502462721547,0.0035995862845263652,0.013981627533521508,0.014041146478511296,0.2398981167844809,0.23012253198203705,1.932345042271668
20,0.5,0.0,3.4470513836389935,0.028002787794492067,0.014250124494935713,0.02085692871933813,0.3115356215383911,0.300583999134168,1.8075848792660592
20,0.8,0.0,3.6293535655099904,0.10957062527198261,0.16550932001822033,0.10411309507123283,1.4454887236756417,1.4322715223051845,2.5511133006922635
40,0.0,0.0,5.854816375640823,0.004120709247886541,0.042048328116971276,0.04461124437509054,0.816914777705638,0.8506351866926697,2.8293525560351256
40,0.5,0.0,5.828298208387344,0.021542485839635965,0.04559004305943949,0.047220394644228815,1.147476056077418,1.1930592631032702,2.855688680914308
40,0.8,0.0,5.639384559126211,0.11383955128940265,0.41461838160727177,0.21285036640101096,2.9756989426904505,2.9262336310345685,3.4722114054167985
