k,rho,stepwise_plain,stepwise_reduced,stepwise_ff,L0opt_CD,L0opt_CDPSI,lassonet,lassonet_plus,deep2stage
0,0.0,0.028,0.028,0.034,0.03,0.03,0.03,0.03,0.0
0,0.5,0.024,0.024,0.026,0.024,0.024,0.024,0.024,0.0
0,0.8,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.0
5,0.0,0.04477698412698412,0.02595238095238094,0.04534841269841269,0.0460984126984127,0.04623730158730159,0.036390476190476174,0.03769285714285714,0.0
5,0.5,0.04054841269841269,0.028171428571428552,0.04281746031746031,0.04168174603174603,0.04168174603174603,0.027404761904761887,0.02708571428571426,0.0007333333333333333
5,0.8,0.048157142857142836,0.04310476190476188,0.06593809523809516,0.05003571428571425,0.04964523809523807,0.042015079365079346,0.03518809523809522,0.041476190476190465
10,0.0,0.052851437451437486,0.02292366522366521,0.05366889776889781,0.05753616938616942,0.05753616938616942,0.03833981573981572,0.03654145299145298,0.0
10,0.5,0.04285727050727049,0.022896176046176026,0.04343785658785657,0.04603353313353313,0.0463971694971695,0.029245515595515578,0.029987173937173924,0.0007532467532467532
10,0.8,0.05362072372072373,0.05626111111111107,0.0638293317793318,0.05589800754800757,0.05515960150960154,0.06323204573204573,0.051926628926628936,0.04389458874458871
20,0.0,0.057641460566923014,0.017607259329937324,0.05792141044160973,0.0647347844627816,0.06498478446278158,0.03011974140769265,0.028135201766720103,0.0
20,0.5,0.051848712278060136,0.03883145004290513,0.052945451151128274,0.05638945673783006,0.05772502035721721,0.03025579769873412,0.027128584865053394,0.0
20,0.8,0.06017537559507549,0.08736719968198313,0.06564029491208462,0.0665305703117422,0.06393338049007728,0.12378050434335568,0.11272314200499949,0.026639024030664857
40,0.0,0.07107139464069546,0.014383962152239443,0.07111618228548312,0.08726562748778688,0.08781916323375583,0.03849728105886431,0.03796381431594588,0.0
40,0.5,0.06727693395123426,0.055065856543069815,0.0674976762158701,0.07744210431112691,0.07778914511694167,0.06324458142884698,0.05974870668025712,0.0
40,0.8,0.07844028616191663,0.1274112628326137,0.08056366110843807,0.0984510088715165,0.09085906724788377,0.2431970511094257,0.23583153467755155,0.018741315079005474
