k,rho,stepwise_plain,stepwise_reduced,stepwise_ff,L0opt_CD,L0opt_CDPSI,lassonet,lassonet_plus,deep2stage
0,0.0,0.0,0.0,0.00406166559397111,-0.002551791953057766,-0.002551791953057766,-0.0025517919530644467,-0.0025517919530644467,0.048242578192789154
0,0.5,0.0,0.0,0.012032422196505207,0.0,0.0,-3.3315572522951696e-15,-3.3315572522951696e-15,0.04753566532727576
0,0.8,0.0,0.0,0.003980860500439356,0.0,0.0,-2.2222224060897123e-15,-2.2222224060897123e-15,0.0466388760913376
5,0.0,0.0,1.155582336289218,-9.5724729573476e-05,-0.0001719838614519631,-0.000700781214699191,0.13441144288620158,0.10426714304816241,86.91087014314806
5,0.5,0.0,2.0481283838831823,0.02858234621634972,-0.001261787231699941,-0.001261787231699941,0.1713063507924795,0.18273330986329436,87.43042917313691
5,0.8,0.0,2.6174384980517234,0.6122330567401407,0.04258631127127202,0.029753673632778116,2.0276809218402283,1.7234784016856068,98.89086746216006
10,0.0,0.0,13.602213233807886,0.004649989333590611,-0.027744514253706255,-0.027744514253706255,0.6911231135310224,0.6833654864572024,183.12550039103482
10,0.5,0.0,14.368624748201015,0.015558470448371964,-0.028296621753032696,-0.029136816495307586,0.983958994938802,0.859015929314694,184.3389607346355
10,0.8,0.0,16.786447181214875,0.8065079427486135,0.19665201018264747,0.0706891335009102,,9.389569572870922,205.98504518104514
20,0.0,0.0,87.70317331176051,-0.005038946044441218,-0.06568219630870521,-0.0671119810282321,4.11135287286671,4.054803929319207,385.5327592411082
20,0.5,0.0,89.04196619785364,0.04964780476230248,0.0053147955944155,-0.03946705257553026,6.057925617503857,5.719104338130512,381.0674286044064
20,0.8,0.0,91.53391225468192,0.6951806787782848,1.0702487173849295,0.23169146322212691,47.4853739281361,44.92517563916995,414.0985224679542
40,0.0,0.0,334.7894507539151,-0.005393598172602197,-0.2774118772874799,-0.28878894829959745,27.942255760324873,27.85121129946509,809.6243828828644
40,0.5,0.0,355.2836456284619,0.015894929958259127,-0.00785423231885352,-0.06542390242546481,45.43048150493577,44.612218946223294,803.611193314642
40,0.8,0.0,320.84628008927245,0.43025742927520605,6.069010973134181,1.0784510913780831,181.5030570681092,177.8146186958529,827.9333902462448
