k,rho,stepwise_plain,stepwise_reduced,stepwise_ff,L0opt_CD,L0opt_CDPSI,lassonet,lassonet_plus,deep2stage
0,0.0,0.3531156315803528,0.13589553594589232,0.6291527128219605,0.19750259828567504,2.0476473779678344,9.521003424167633,10.534130935668946,11.027982549667358
0,0.5,0.35869316482543945,0.12425556612014771,0.6045453333854676,0.20007287979125976,2.053659360408783,9.787103941440582,10.638285614013672,10.719458715438844
0,0.8,0.36187601804733277,0.1345620665550232,0.5745648860931396,0.21687347650527955,2.4552687339782713,10.302706580638885,11.10769730424881,10.882055305480957
5,0.0,1.583054629802704,0.32668968439102175,0.7825454621315002,0.20846615839004518,2.1008832840919496,9.286140787601472,11.324310589790345,8.774376091480255
5,0.5,1.5663925290107727,0.3352382311820984,0.8955232648849487,0.21186201000213623,2.088973653316498,9.40879288816452,11.322648061275482,8.675707675933838
5,0.8,1.5539621481895447,0.3860735592842102,1.1904278430938722,0.22700322341918946,2.4867347049713135,9.418934443950652,11.400463759422303,8.278354669570923
10,0.0,5.1861551976203915,0.903135087966919,1.879687903881073,0.21607124996185303,1.8218398361206054,11.986890208244324,15.563109991550446,11.187658450603486
10,0.5,5.090255061626435,0.981061692237854,2.1564553961753847,0.21754557085037232,1.8253296217918396,12.041901591777801,15.772514015197753,11.15126296043396
10,0.8,5.046531930923462,1.241553316116333,3.526081281661987,0.23159303903579712,2.1325898776054384,,15.658717042446137,10.755934642791749
20,0.0,6.971812740802765,1.0591536412239075,2.666270835876465,0.2472496609687805,2.269891946315765,9.42646483707428,13.906260995388031,8.764998842716217
20,0.5,6.8774909515380855,1.2314283418655396,3.4082883195877076,0.2502513241767883,2.2815464720726015,9.539170707702636,13.932894802093506,8.804477246284485
20,0.8,6.9928463182449345,1.7526668434143067,6.752934892177581,0.2649398398399353,2.5980150380134583,9.380063286304473,14.100935923099518,8.615268192768097
40,0.0,18.250273582935332,2.2400038480758666,9.812634881496429,0.28705785036087034,2.5643390617370607,9.159017506599426,14.940572968482972,8.072140958309173
40,0.5,17.966570029735564,2.6778926935195924,11.91796303510666,0.2889671764373779,2.5517608942985537,9.0776804728508,15.031881077289581,8.03471700668335
40,0.8,18.201772553920748,4.26550334072113,20.295829309940338,0.30628444147109984,2.8165480937957765,8.85213057565689,15.574942924022675,7.870409874916077
