k,rho,method,Better,Worse,Power,FP,Better2,Worse2,Power2,FDR2,mean_mBIC,sd_mBIC,sem_mBIC,mean_mBIC2,sd_mBIC2,sem_mBIC2,Runtime
5,0.0,L0opt_CD,1,0,0.8564,0.034,3,0,0.8676,0.0460984126984127,-0.001937559810818982,0.04332515447462872,0.00193755981081898,-0.0001719838614519631,0.0027186715387120925,0.00012158268738108379,0.20846615839004518
5,0.0,L0opt_CDPSI,1,0,0.8564,0.034,4,0,0.8676,0.04623730158730159,-0.001937559810818982,0.04332515447462872,0.00193755981081898,-0.000700781214699191,0.012125272846707672,0.0005422586866194149,2.1008832840919496
5,0.0,lassonet,1,11,0.8544,0.026,1,45,0.8652,0.036390476190476174,0.04324280324168799,0.3622592602327663,0.01620072662718503,0.13441144288620158,0.6453219512079814,0.028859675005476978,9.286140787601472
5,0.0,lassonet_plus,1,0,0.8564,0.034,1,45,0.8644000000000001,0.03769285714285714,-0.0019375598108211706,0.0433251544746287,0.0019375598108189792,0.10426714304816241,0.46144596407609884,0.020636490872341658,11.324310589790345
5,0.0,deep2stage,0,500,0.8352,0.014,0,500,0.7792,0.0,12.160657468742293,2.774327124896597,0.1240716808618068,86.91087014314806,19.32665967721133,0.8643144963249736,8.774376091480255
5,0.5,stepwise_plain,0,0,0.8548,0.042,0,0,0.8712,0.04054841269841269,0.0,0.0,0.0,0.0,0.0,0.0,1.5663925290107727
5,0.5,stepwise_reduced,0,49,0.8352,0.034,0,88,0.8455999999999999,0.028171428571428552,1.5926070498889928,7.280332746044035,0.3255863783794435,2.0481283838831823,8.096134671138868,0.3620701495931883,0.3352382311820984
5,0.5,stepwise_ff,0,1,0.8544,0.044,0,7,0.8699999999999999,0.04281746031746031,0.0052100694642571175,0.1165006948957154,0.005210069464255648,0.02858234621634972,0.31158558489613336,0.013934530972735719,0.8955232648849487
5,0.5,L0opt_CD,0,1,0.8548,0.04,2,0,0.8715999999999999,0.04168174603174603,0.00017533063972052787,0.003920512289477625,0.00017533063971790605,-0.001261787231699941,0.02675908386451479,0.0011967026107334567,0.21186201000213623
5,0.5,L0opt_CDPSI,0,1,0.8548,0.04,2,0,0.8715999999999999,0.04168174603174603,0.00017533063972052787,0.003920512289477625,0.00017533063971790605,-0.001261787231699941,0.02675908386451479,0.0011967026107334567,2.088973653316498
5,0.5,lassonet,0,11,0.8532,0.032,1,57,0.8664,0.027404761904761887,0.03397210486093448,0.30931322092784036,0.01383290776668123,0.1713063507924795,0.7512040687106208,0.03359486725222742,9.40879288816452
5,0.5,lassonet_plus,0,0,0.8548,0.042,0,61,0.8656,0.02708571428571426,5.3717030823463574e-15,6.116971968897839e-14,2.7355930277832592e-15,0.18273330986329436,0.7233566023812538,0.03234949069795539,11.322648061275482
5,0.5,deep2stage,0,499,0.8192,0.034,0,499,0.7784,0.0007333333333333333,13.105500236955047,4.921031167811424,0.22007520421243035,87.43042917313691,18.238638519199956,0.8156567109195441,8.675707675933838
5,0.8,stepwise_plain,0,0,0.8448,0.086,0,0,0.8544,0.048157142857142836,0.0,0.0,0.0,0.0,0.0,0.0,1.5539621481895447
5,0.8,stepwise_reduced,0,57,0.8231999999999999,0.096,0,87,0.8316000000000001,0.04310476190476188,2.1994667337501386,11.052915089287827,0.49430138978361476,2.6174384980517234,11.501673421398927,0.5143704725050117,0.3860735592842102
5,0.8,stepwise_ff,0,44,0.8304,0.16,1,51,0.8400000000000001,0.06593809523809516,0.6713088207730441,2.751611878864426,0.12305582417673547,0.6122330567401407,2.3731987515452673,0.10613267465145702,1.1904278430938722
5,0.8,L0opt_CD,1,5,0.8444,0.088,3,12,0.8528,0.05003571428571425,-0.0017092405188411134,0.9996418992141699,0.04470534479599755,0.04258631127127202,0.4450616617616801,0.01990376259756271,0.22700322341918946
5,0.8,L0opt_CDPSI,1,3,0.8452,0.084,4,10,0.8539999999999999,0.04964523809523807,-0.016406499133996645,0.9630362203116095,0.04306828906822445,0.029753673632778116,0.35268855992270903,0.015772711897473708,2.4867347049713135
5,0.8,lassonet,0,111,0.8215999999999999,0.122,1,168,0.8284,0.042015079365079346,1.681830638453897,4.48195794317726,0.20043925266478987,2.0276809218402283,4.4012331010567625,0.19682912797570243,9.418934443950652
5,0.8,lassonet_plus,0,5,0.8436,0.09,1,160,0.828,0.03518809523809522,0.012600899301085235,0.137960350267382,0.0061697744279509475,1.7234784016856068,4.476396126520431,0.20019052066232865,11.400463759422303
5,0.8,deep2stage,0,500,0.7647999999999999,0.456,0,500,0.7196,0.041476190476190465,24.701640965246977,16.83599696802341,0.7529286737896138,98.89086746216006,29.734050370989902,1.3297471575187252,8.278354669570923
