method,k=10,k=20,all
stepwise_plain,98.66094632327557,114.09017179816962,106.3755590607226
L0opt_CD,0.7120950770378113,0.7048855140805245,0.7084902955591679
L0opt_CDPSI,6.2326395052671435,6.248836196362973,6.240737850815058
GSDAR,9.929592353701592,10.490383877456189,10.20998811557889
lassonet,24.942428501248358,25.15949662387371,25.050962562561036
lassonet_plus,36.755674456954004,38.75561713069677,37.75564579382539
deep2stage,11.964959453642368,12.292114438414574,12.12853694602847
deep2stage_plus,23.837124934494494,26.113818405270578,24.975471669882534
