method,p=1000,p=2000,p=5000,p=10000
stepwise_plain,0.02892967449217449,0.025295808358308358,0.026740377677877677,0.027367542180042177
L0opt_CD,0.02954182276057276,0.024885843323343326,0.028362123987123986,0.030321726884226883
L0opt_CDPSI,0.029663243006993002,0.0249870337995338,0.028995670995670995,0.030804861804861805
GSDAR,0.03303408254327372,0.027742680930180928,0.028387806637806635,0.023047979797979797
lassonet,0.03117708333333333,0.028099879287379288,0.026612356393606394,0.027442578255078256
lassonet_plus,0.03054899267399267,0.02661714674214674,0.02689820596070596,0.028235597735597733
deep2stage,0.08711602286602285,0.11404524417575887,0.2886494461420932,0.12883273119854002
deep2stage_plus,0.030700313575313574,0.026095016095016094,0.027218281718281716,0.02897549672549673
