method,a_10,a_20,a_all,b_10,b_20,b_all
stepwise_plain,0,0,0,0,0,0
L0opt_CD,35,60,95,26,49,75
L0opt_CDPSI,34,54,88,25,45,70
GSDAR,193,265,458,166,254,420
lassonet,395,396,791,400,394,794
lassonet_plus,395,389,784,400,395,795
deep2stage,400,400,800,400,400,800
deep2stage_plus,398,398,796,400,397,797
