method,a,b,all
stepwise_plain,0.028688100094350095,0.02547860125985126,0.027083350677100677
L0opt_CD,0.030697259337884336,0.025858499139749136,0.028277879238816736
L0opt_CDPSI,0.03144402992840493,0.02578137487512487,0.0286127024017649
GSDAR,0.030071714029434617,0.026034560925185923,0.02805313747731027
lassonet,0.03137274531024531,0.025293203324453326,0.028332974317349317
lassonet_plus,0.03028144425019425,0.025868527306027306,0.028074985778110777
deep2stage,0.15229532599753187,0.1570263961936756,0.15466086109560373
deep2stage_plus,0.030236735486735486,0.026257818570318572,0.02824727702852703
