method,k=10,k=20,all
stepwise_plain,0.59025,0.38,0.48512500000000003
L0opt_CD,0.5905,0.3845625,0.48753124999999997
L0opt_CDPSI,0.590625,0.3845,0.4875625
GSDAR,0.5585,0.34950000000000003,0.454
lassonet,0.587125,0.37424999999999997,0.4806875
lassonet_plus,0.591875,0.3820625,0.48696875
deep2stage,0.30525,0.1663125,0.23578125000000003
deep2stage_plus,0.591,0.381,0.486
