method,k=10,k=20,all
stepwise_plain,0.027625496031746032,0.02654120532245532,0.027083350677100677
L0opt_CD,0.02787797619047619,0.028677782287157286,0.028277879238816736
L0opt_CDPSI,0.02784293831168831,0.02938246649184149,0.0286127024017649
GSDAR,0.029549377705627704,0.026556897248992836,0.02805313747731027
lassonet,0.027452256077256078,0.029213692557442557,0.028332974317349317
lassonet_plus,0.028580357142857143,0.02756961441336441,0.028074985778110777
deep2stage,0.17576684844975285,0.13355487374145464,0.15466086109560373
deep2stage_plus,0.028610434704184704,0.027884119352869354,0.02824727702852703
