method,a,b,all
stepwise_plain,0,0,0
L0opt_CD,76,60,136
L0opt_CDPSI,73,58,131
GSDAR,280,250,530
lassonet,791,792,1583
lassonet_plus,790,789,1579
deep2stage,800,800,1600
deep2stage_plus,798,795,1593
