method,a_10,a_20,a_all,b_10,b_20,b_all
stepwise_plain,0,0,0,0,0,0
L0opt_CD,18,58,76,19,41,60
L0opt_CDPSI,19,54,73,19,39,58
GSDAR,121,159,280,97,153,250
lassonet,399,392,791,396,396,792
lassonet_plus,399,391,790,396,393,789
deep2stage,400,400,800,400,400,800
deep2stage_plus,400,398,798,398,397,795
