k,p,scenario,stepwise_plain,L0opt_CD,L0opt_CDPSI,GSDAR,lassonet,lassonet_plus,deep2stage,deep2stage_plus
0,1000,null,0.02,0.4,0.4,0.02,0.02,0.02,0.01,0.02
0,2000,null,0.04,0.47,0.47,0.04,0.04,0.04,0.02,0.04
0,5000,null,0.01,0.45,0.45,0.01,0.01,0.01,0.0,0.01
0,10000,null,0.03,0.47,0.47,0.03,0.03,0.03,0.0,0.03
0,50000,null,0.03,0.47,0.47,0.03,0.03,0.03,0.0,0.03
10,1000,gamma,0.03206024531024531,0.03634992784992785,0.03677849927849927,0.033944805194805194,0.037340631590631584,0.034560245310245305,0.10059632034632035,0.034560245310245305
10,1000,normal,0.02920815295815296,0.026643217893217896,0.026112914862914866,0.037575757575757575,0.025948773448773447,0.02920815295815296,0.0758030303030303,0.03251623376623377
10,2000,gamma,0.02797691197691198,0.027770562770562775,0.027770562770562775,0.028777777777777774,0.029442279942279943,0.0314491341991342,0.10882026307026306,0.02922691197691198
10,2000,normal,0.022773809523809523,0.018329365079365077,0.018329365079365077,0.02427380952380952,0.02539285714285714,0.022773809523809523,0.11051268176268175,0.022773809523809523
10,5000,gamma,0.02465873015873016,0.027568542568542565,0.028818542568542566,0.035405483405483405,0.026449134199134198,0.02465873015873016,0.33175108225108224,0.024480158730158727
10,5000,normal,0.02053571428571429,0.02417063492063492,0.02417063492063492,0.020369047619047616,0.019273809523809523,0.022202380952380953,0.3417530247530247,0.02053571428571429
10,10000,gamma,0.04068650793650793,0.04340584415584415,0.041977272727272724,0.03888961038961039,0.03926659451659452,0.04068650793650793,0.17322005772005775,0.04168650793650794
10,10000,normal,0.023103896103896106,0.018785714285714284,0.018785714285714284,0.017158730158730158,0.016503968253968253,0.023103896103896106,0.16367832739156266,0.023103896103896106
20,1000,gamma,0.018306388056388057,0.018788780663780664,0.01860696248196248,0.028531532193296898,0.027125874125874125,0.022283660783660782,0.0902202242202242,0.019273171273171276
20,1000,normal,0.03614391164391164,0.036385364635364625,0.0371545954045954,0.03208423520923521,0.034293054168054164,0.03614391164391164,0.08184451659451658,0.036451603951603954
20,2000,gamma,0.02977092352092352,0.027662198912198913,0.028726301476301477,0.025217865467865468,0.030041430791430793,0.029584054834054838,0.12473277212983094,0.03140029415029415
20,2000,normal,0.02066158841158841,0.025781246531246534,0.02512190587190587,0.03270127095127095,0.027522949272949276,0.022661588411588413,0.11211525974025975,0.02097904872904873
20,5000,gamma,0.028825396825396823,0.0288489565989566,0.030190836940836942,0.030183621933621937,0.027522005772005774,0.02921861471861472,0.23107744379803205,0.030976190476190477
20,5000,normal,0.03294166944166944,0.032860361860361856,0.03280266955266955,0.027593073593073586,0.03320447607947608,0.03151309801309801,0.2500162337662338,0.03288106338106338
20,10000,gamma,0.027219696969696967,0.035183261183261184,0.03868326118326118,0.019623015873015875,0.03379401154401154,0.02981060606060606,0.057944444444444444,0.03029040404040404
20,10000,normal,0.01846006771006771,0.02391208791208791,0.023773199023199028,0.01652056277056277,0.020205738705738704,0.01934138084138084,0.12048809523809524,0.020821178821178822
