method,a_10,a_20,a_all,b_10,b_20,b_all
stepwise_plain,0,0,0,0,0,0
L0opt_CD,9,13,22,3,9,12
L0opt_CDPSI,9,15,24,3,10,13
GSDAR,2,1,3,0,2,2
lassonet,5,4,9,0,6,6
lassonet_plus,5,11,16,0,5,5
deep2stage,0,0,0,0,0,0
deep2stage_plus,2,2,4,0,3,3
