method,a,b,all
stepwise_plain,0.50975,0.4605,0.48512500000000003
L0opt_CD,0.5135625,0.46149999999999997,0.48753124999999997
L0opt_CDPSI,0.5138125,0.4613125,0.4875625
GSDAR,0.476875,0.431125,0.454
lassonet,0.5045,0.456875,0.4806875
lassonet_plus,0.511875,0.46206250000000004,0.48696875
deep2stage,0.242875,0.22868750000000002,0.23578125000000003
deep2stage_plus,0.510625,0.461375,0.486
