method,p=1000,p=2000,p=5000,p=10000
stepwise_plain,0.027500000000000004,0.03,0.0325,0.025
L0opt_CD,0.03,0.0325,0.037500000000000006,0.03
L0opt_CDPSI,0.03,0.0325,0.037500000000000006,0.03
GSDAR,0.05,0.0325,0.055,0.04
lassonet,0.025,0.0325,0.035,0.030000000000000002
lassonet_plus,0.03,0.03,0.035,0.0275
deep2stage,0.3275,0.5375000000000001,1.4224999999999999,0.4225
deep2stage_plus,0.027500000000000004,0.03,0.035,0.03
