method,a,b,all
stepwise_plain,0.03125,0.026250000000000002,0.02875
L0opt_CD,0.03375,0.03125,0.0325
L0opt_CDPSI,0.03375,0.03125,0.0325
GSDAR,0.051250000000000004,0.0375,0.044375
lassonet,0.03625,0.025,0.030625
lassonet_plus,0.0325,0.02875,0.030625
deep2stage,0.65625,0.69875,0.6775
deep2stage_plus,0.0325,0.02875,0.030625
