method,a,b,all
stepwise_plain,0.43975,0.408375,0.4240625
L0opt_CD,0.4435625,0.4114375,0.4275
L0opt_CDPSI,0.4431875,0.41118750000000004,0.4271875
GSDAR,0.428125,0.3936875,0.41090625000000003
lassonet,0.44075,0.4100625,0.42540625
lassonet_plus,0.44206249999999997,0.4105625,0.4263125
deep2stage,0.21725,0.2100625,0.21365625
deep2stage_plus,0.44056249999999997,0.409625,0.42509375
