method,a,b,all
stepwise_plain,0,0,0
L0opt_CD,22,12,34
L0opt_CDPSI,24,13,37
GSDAR,3,2,5
lassonet,9,6,15
lassonet_plus,16,5,21
deep2stage,0,0,0
deep2stage_plus,4,3,7
