method,k=10,k=20,all
stepwise_plain,0.538875,0.30925,0.4240625
L0opt_CD,0.5425,0.3125,0.4275
L0opt_CDPSI,0.542375,0.312,0.4271875
GSDAR,0.52125,0.3005625,0.41090625000000003
lassonet,0.538375,0.3124375,0.42540625
lassonet_plus,0.540625,0.312,0.4263125
deep2stage,0.28175,0.1455625,0.21365625
deep2stage_plus,0.53975,0.3104375,0.42509375
