k,p,scenario,stepwise_plain,L0opt_CD,L0opt_CDPSI,GSDAR,lassonet,lassonet_plus,deep2stage,deep2stage_plus
0,1000,null,0.0,0.3828322076797232,0.382338930370409,2.8239900841572513e-05,4.993988684387065e-06,4.993988684387065e-06,0.010047875178357996,4.993988684387065e-06
0,2000,null,0.0,0.37925585405773743,0.37925585405773743,1.972916500660731e-05,3.6348021929095345e-06,3.6348021929095345e-06,0.011192129685232984,3.6348021929095345e-06
0,5000,null,0.0,0.503340618104641,0.503340618104641,4.002801975050284e-06,2.1719374120903724e-08,2.1719374120903724e-08,0.05204111666617963,2.1719374120903724e-08
0,10000,null,0.0,0.4158809508187383,0.4158809508187383,3.430132709382695e-06,1.0370818142013076e-06,1.0370818142013076e-06,0.02781083715727683,1.0370818142013076e-06
0,50000,null,0.0,0.4644409336529244,0.4644409336529244,5.628605775372339e-07,1.3556122023870377e-05,1.3556122023870377e-05,0.039903539401664204,1.3556122023870377e-05
10,1000,gamma,0.0,0.029557011166560482,0.025308854653050567,0.2595891734692387,0.06292704452976665,0.002608957931683681,1.4388837508677326,0.002608957931682555
10,1000,normal,0.0,0.00860733043218911,0.00857236743731184,0.33768410142417987,0.04803505937279389,0.003014347484555936,1.3810560620619772,0.030491002652063386
10,2000,gamma,0.0,0.021166530172889282,0.021166530172889282,0.31792662723138404,0.07211596415396247,0.015114527496822022,2.006722880824124,0.006594222770970405
10,2000,normal,0.0,0.02143219480366465,0.02143219480366465,0.27699998108817137,0.04239975975142717,0.002244926030417412,2.0464753415336787,0.0022449260304167025
10,5000,gamma,0.0,0.02698953370682706,0.026584896622354148,0.41002040751352864,0.08686660568866751,0.0023765179350113777,5.311680487556766,0.019892222578383346
10,5000,normal,0.0,0.013795987557242729,0.013795987557242729,0.24481224887551534,0.06431757795787485,0.0016859254210876552,5.941989545184979,0.0017085542204990506
10,10000,gamma,0.0,0.033875702536762815,0.033163234719480066,0.3937189114474297,0.10831802362849444,0.006700548067748858,5.319673960981487,0.005244441074438866
10,10000,normal,0.0,0.01911216001920922,0.01911216001920922,0.3209919458737482,0.06630195773350608,0.01683796382287744,6.80043811285317,0.0030161970797140383
20,1000,gamma,0.0,0.03357436423420463,0.03593829549890958,0.4083667717541529,0.08615763594221468,0.015846678282326623,1.5163902815781583,0.015445869060303225
20,1000,normal,0.0,0.018161406565845833,0.013911349455880411,0.44002127623630855,0.1285812373593571,0.0035061911772823378,1.544956704857804,0.004630912265610242
20,2000,gamma,0.0,0.04566205422897109,0.06512536409650284,0.34957212450037145,0.18918898779428478,0.08086492234744203,2.168439839039508,0.0220830534727168
20,2000,normal,0.0,0.03761221988055258,0.017864075636096686,0.3647578506704578,0.10842676489469716,0.003034487179755732,1.8580827595294511,0.0034425081700435343
20,5000,gamma,0.0,0.041742048078298295,0.03585368120106795,0.386729939545434,0.14023396095118373,0.017524943141393044,4.281676054057931,0.005772292418934281
20,5000,normal,0.0,0.058945346540470664,0.028449054396451234,0.392150589627343,0.152822390903173,0.007987263414260561,3.848555998340813,0.01078368061376433
20,10000,gamma,0.0,0.0570132423936033,0.05415495067180328,0.35669768149049286,0.16061786805800743,0.0248216940224584,4.615099302200107,0.03562451040817122
20,10000,normal,0.0,0.11442779937693015,0.12754982313405913,0.36430778849817347,0.13991904078898193,0.10288235376271133,4.281536625598769,0.10655788560423296
