method,p=1000,p=2000,p=5000,p=10000
stepwise_plain,0.461375,0.4265,0.41225,0.396125
L0opt_CD,0.466125,0.428875,0.414625,0.400375
L0opt_CDPSI,0.465875,0.42862500000000003,0.41375,0.40049999999999997
GSDAR,0.44699999999999995,0.41500000000000004,0.398125,0.3835
lassonet,0.463375,0.42862500000000003,0.4125,0.397125
lassonet_plus,0.46499999999999997,0.42824999999999996,0.413625,0.398375
deep2stage,0.36225,0.31237499999999996,0.14975,0.030250000000000003
deep2stage_plus,0.463375,0.427625,0.41250000000000003,0.396875
