method,p=1000,p=2000,p=5000,p=10000
stepwise_plain,0.528375,0.49112500000000003,0.470125,0.450875
L0opt_CD,0.528875,0.493,0.47212499999999996,0.456125
L0opt_CDPSI,0.529375,0.49350000000000005,0.47175,0.455625
GSDAR,0.49912500000000004,0.46062500000000006,0.43662500000000004,0.41962499999999997
lassonet,0.5247499999999999,0.48475,0.46449999999999997,0.44875
lassonet_plus,0.52875,0.493,0.472125,0.454
deep2stage,0.39325,0.33825,0.1715,0.040125
deep2stage_plus,0.5291250000000001,0.492125,0.47,0.45275
