method,k=10,k=20,all
stepwise_plain,0.03375,0.02375,0.02875
L0opt_CD,0.03625,0.02875,0.0325
L0opt_CDPSI,0.03625,0.02875,0.0325
GSDAR,0.0575,0.03125,0.044375
lassonet,0.03625,0.025,0.030625
lassonet_plus,0.035,0.026250000000000002,0.030625
deep2stage,0.8200000000000001,0.5349999999999999,0.6775
deep2stage_plus,0.03375,0.0275,0.030625
